common_name,scientific_name,height_asymptote_m,height_shape_k_cm,size_class,crown_group,crown_method,confidence,reference_basis,limitation,source_url
LEUCENA,Leucaena leucocephala,12,25,Médio porte,narrow,dbh_scaled,medium,Porte adulto típico consultado em literatura de árvores exóticas e cultivadas.,"O porte urbano varia com cultivar, poda, manejo e condições do sítio.",https://www.plantarum.com.br/produtos/livro-arvores-e-arvoretas-exoticas-no-brasil-6v4jt/
PALMEIRA JERIVÁ,Syagrus romanzoffiana,18,30,Médio porte,palm,palm_height_scaled,low,Porte de referência obtido em literatura específica de palmeiras brasileiras.,A relação DAP–altura é pouco adequada para palmeiras; confirmar em campo.,https://www.plantarum.com.br/produtos/livro-flora-brasileira-arecaceae-palmeiras/
ACEROLA,Malpighia glabra,6,15,Pequeno porte,compact,dbh_scaled,medium,Porte adulto típico consultado em literatura de árvores exóticas e cultivadas.,"O porte urbano varia com cultivar, poda, manejo e condições do sítio.",https://www.plantarum.com.br/produtos/livro-arvores-e-arvoretas-exoticas-no-brasil-6v4jt/
PITANGA,Eugenia uniflora,8,20,Pequeno porte,compact,dbh_scaled,medium,Porte adulto típico/potencial consultado em Carvalho/Embrapa e Lorenzi.,"H∞ é uma referência para a curva, não um padrão normativo.",https://www.embrapa.br/web/florestas/publicacoes/especies-arboreas-brasileiras
AÇOITA CAVALO,Luehea divaricata,20,45,Grande porte,broad,dbh_scaled,medium,Porte adulto típico/potencial consultado em Carvalho/Embrapa e Lorenzi.,"H∞ é uma referência para a curva, não um padrão normativo.",https://www.embrapa.br/web/florestas/publicacoes/especies-arboreas-brasileiras
AROEIRA PIMENTEIRA,Schinus terebinthifolia,10,25,Pequeno porte,intermediate,dbh_scaled,medium,Porte adulto típico/potencial consultado em Carvalho/Embrapa e Lorenzi.,"H∞ é uma referência para a curva, não um padrão normativo.",https://www.embrapa.br/web/florestas/publicacoes/especies-arboreas-brasileiras
AMOREIRA BRANCA,Morus alba,12,30,Médio porte,broad,dbh_scaled,medium,Porte adulto típico consultado em literatura de árvores exóticas e cultivadas.,"O porte urbano varia com cultivar, poda, manejo e condições do sítio.",https://www.plantarum.com.br/produtos/livro-arvores-e-arvoretas-exoticas-no-brasil-6v4jt/
ALBIZIA,Fabaceae (indet.),18,40,Médio porte,broad,dbh_scaled,low,"Referência genérica de gênero ou família, pois a identificação do projeto é incompleta.",Baixa confiabilidade; confirmar a espécie botânica.,https://www.plantarum.com.br/produtos/colecao-arvores-brasileiras/
OITI,Licania tomentosa,15,35,Médio porte,compact,dbh_scaled,medium,Porte adulto típico/potencial consultado em Carvalho/Embrapa e Lorenzi.,"H∞ é uma referência para a curva, não um padrão normativo.",https://www.embrapa.br/web/florestas/publicacoes/especies-arboreas-brasileiras
AMORA,Morus nigra,12,30,Médio porte,intermediate,dbh_scaled,medium,Porte adulto típico consultado em literatura de árvores exóticas e cultivadas.,"O porte urbano varia com cultivar, poda, manejo e condições do sítio.",https://www.plantarum.com.br/produtos/livro-arvores-e-arvoretas-exoticas-no-brasil-6v4jt/
PAU REI,Pterygota brasiliensis,25,50,Grande porte,intermediate,dbh_scaled,medium,Porte adulto típico/potencial consultado em Carvalho/Embrapa e Lorenzi.,"H∞ é uma referência para a curva, não um padrão normativo.",https://www.embrapa.br/web/florestas/publicacoes/especies-arboreas-brasileiras
PAINEIRA VERMELHA,Bombax ceiba,25,50,Grande porte,broad,dbh_scaled,medium,Porte adulto típico consultado em literatura de árvores exóticas e cultivadas.,"O porte urbano varia com cultivar, poda, manejo e condições do sítio.",https://www.plantarum.com.br/produtos/livro-arvores-e-arvoretas-exoticas-no-brasil-6v4jt/
SANGRA D'ÁGUA,Croton urucurana,15,35,Médio porte,intermediate,dbh_scaled,medium,Porte adulto típico/potencial consultado em Carvalho/Embrapa e Lorenzi.,"H∞ é uma referência para a curva, não um padrão normativo.",https://www.embrapa.br/web/florestas/publicacoes/especies-arboreas-brasileiras
CHICHA,Sterculia sp.,20,45,Grande porte,broad,dbh_scaled,low,"Referência genérica de gênero ou família, pois a identificação do projeto é incompleta.",Baixa confiabilidade; confirmar a espécie botânica.,https://www.plantarum.com.br/produtos/colecao-arvores-brasileiras/
EUCALIPTO,Eucalyptus sp.,30,55,Porte muito grande,narrow,dbh_scaled,medium,Porte adulto típico consultado em literatura de árvores exóticas e cultivadas.,"O porte urbano varia com cultivar, poda, manejo e condições do sítio.",https://www.plantarum.com.br/produtos/livro-arvores-e-arvoretas-exoticas-no-brasil-6v4jt/
JACARANDÁ MIMOSO,Jacaranda mimosifolia,18,40,Médio porte,broad,dbh_scaled,medium,Porte adulto típico consultado em literatura de árvores exóticas e cultivadas.,"O porte urbano varia com cultivar, poda, manejo e condições do sítio.",https://www.plantarum.com.br/produtos/livro-arvores-e-arvoretas-exoticas-no-brasil-6v4jt/
